mem_label,used_memory_bytes,async_fork,round,latest_fork_usec,timestamp
1G,1487479832,off,1,9146,2026-08-19T08:00:15Z
1G,1487479832,off,2,8144,2026-08-19T08:00:20Z
1G,1487479832,off,3,9111,2026-08-19T08:00:25Z
1G,1487479832,off,4,8023,2026-08-19T08:00:31Z
1G,1487479832,off,5,8660,2026-08-19T08:00:36Z
1G,1487479832,off,6,8099,2026-08-19T08:00:41Z
1G,1487479832,off,7,8591,2026-08-19T08:00:46Z
1G,1487479832,off,8,8571,2026-08-19T08:00:51Z
1G,1487479832,off,9,8393,2026-08-19T08:00:56Z
1G,1487479832,off,10,8018,2026-08-19T08:01:01Z
1G,1487479832,on,1,233,2026-08-19T08:01:07Z
1G,1487479832,on,2,240,2026-08-19T08:01:12Z
1G,1487479832,on,3,230,2026-08-19T08:01:17Z
1G,1487479832,on,4,218,2026-08-19T08:01:22Z
1G,1487479832,on,5,231,2026-08-19T08:01:27Z
1G,1487479832,on,6,210,2026-08-19T08:01:32Z
1G,1487479832,on,7,221,2026-08-19T08:01:37Z
1G,1487479832,on,8,219,2026-08-19T08:01:42Z
1G,1487479832,on,9,221,2026-08-19T08:01:47Z
1G,1487479832,on,10,212,2026-08-19T08:01:52Z
10G,10756211632,off,1,78108,2026-08-19T08:05:17Z
10G,10756211784,off,2,55712,2026-08-19T08:05:35Z
10G,10756211936,off,3,55224,2026-08-19T08:05:53Z
10G,10756212088,off,4,56382,2026-08-19T08:06:12Z
10G,10756212240,off,5,55661,2026-08-19T08:06:30Z
10G,10756212392,off,6,55648,2026-08-19T08:06:48Z
10G,10756212544,off,7,55926,2026-08-19T08:07:06Z
10G,10756212696,off,8,55385,2026-08-19T08:07:24Z
10G,10756212848,off,9,55748,2026-08-19T08:07:42Z
10G,10756213000,off,10,55368,2026-08-19T08:08:01Z
10G,10756213000,on,1,283,2026-08-19T08:08:19Z
10G,10756213000,on,2,249,2026-08-19T08:08:38Z
10G,10756213000,on,3,261,2026-08-19T08:08:56Z
10G,10756213000,on,4,287,2026-08-19T08:09:15Z
10G,10756213000,on,5,286,2026-08-19T08:09:34Z
10G,10756213000,on,6,289,2026-08-19T08:09:53Z
10G,10756213000,on,7,286,2026-08-19T08:10:12Z
10G,10756213000,on,8,305,2026-08-19T08:10:30Z
10G,10756213000,on,9,300,2026-08-19T08:10:49Z
10G,10756213000,on,10,310,2026-08-19T08:11:08Z
20G,21511322016,off,1,135464,2026-08-19T08:14:40Z
20G,21511322168,off,2,109597,2026-08-19T08:15:15Z
20G,21511322320,off,3,110495,2026-08-19T08:15:50Z
20G,21511322472,off,4,111174,2026-08-19T08:16:26Z
20G,21511322624,off,5,111296,2026-08-19T08:17:02Z
20G,21511322776,off,6,111404,2026-08-19T08:17:37Z
20G,21511322928,off,7,111127,2026-08-19T08:18:11Z
20G,21511323080,off,8,111946,2026-08-19T08:18:46Z
20G,21511323232,off,9,111536,2026-08-19T08:19:21Z
20G,21511323384,off,10,109065,2026-08-19T08:19:55Z
20G,21511323384,on,1,324,2026-08-19T08:20:29Z
20G,21511323384,on,2,320,2026-08-19T08:21:04Z
20G,21511323384,on,3,354,2026-08-19T08:21:38Z
20G,21511323384,on,4,325,2026-08-19T08:22:12Z
20G,21511323384,on,5,309,2026-08-19T08:22:46Z
20G,21511323384,on,6,353,2026-08-19T08:23:20Z
20G,21511323384,on,7,291,2026-08-19T08:23:55Z
20G,21511323384,on,8,323,2026-08-19T08:24:29Z
20G,21511323384,on,9,316,2026-08-19T08:25:04Z
20G,21511323384,on,10,329,2026-08-19T08:25:38Z
30G,32333541264,off,1,192091,2026-08-19T08:29:32Z
30G,32333541416,off,2,166810,2026-08-19T08:30:25Z
30G,32333541568,off,3,168361,2026-08-19T08:31:18Z
30G,32333541720,off,4,168581,2026-08-19T08:32:13Z
30G,32333541872,off,5,167982,2026-08-19T08:33:07Z
30G,32333542024,off,6,168597,2026-08-19T08:34:02Z
30G,32333542176,off,7,168964,2026-08-19T08:34:56Z
30G,32333542328,off,8,169918,2026-08-19T08:35:52Z
30G,32333542480,off,9,168500,2026-08-19T08:36:46Z
30G,32333542632,off,10,169256,2026-08-19T08:37:40Z
30G,32333542632,on,1,401,2026-08-19T08:38:33Z
30G,32333542632,on,2,382,2026-08-19T08:39:25Z
30G,32333542632,on,3,372,2026-08-19T08:40:19Z
30G,32333542632,on,4,395,2026-08-19T08:41:11Z
30G,32333542632,on,5,394,2026-08-19T08:42:05Z
30G,32333542632,on,6,374,2026-08-19T08:42:58Z
30G,32333542632,on,7,380,2026-08-19T08:43:50Z
30G,32333542632,on,8,382,2026-08-19T08:44:44Z
30G,32333542632,on,9,401,2026-08-19T08:45:39Z
30G,32333542632,on,10,411,2026-08-19T08:46:31Z
40G,43021542784,off,1,249456,2026-08-19T08:50:27Z
40G,43021542936,off,2,221623,2026-08-19T08:51:37Z
40G,43021543088,off,3,221993,2026-08-19T08:52:48Z
40G,43021543240,off,4,222379,2026-08-19T08:53:59Z
40G,43021543392,off,5,221978,2026-08-19T08:55:08Z
40G,43021543544,off,6,221240,2026-08-19T08:56:16Z
40G,43021543696,off,7,221553,2026-08-19T08:57:26Z
40G,43021543848,off,8,222000,2026-08-19T08:58:35Z
40G,43021544000,off,9,224106,2026-08-19T08:59:45Z
40G,43021544152,off,10,224367,2026-08-19T09:00:56Z
40G,43021544152,on,1,429,2026-08-19T09:02:04Z
40G,43021544152,on,2,439,2026-08-19T09:03:15Z
40G,43021544152,on,3,429,2026-08-19T09:04:25Z
40G,43021544152,on,4,443,2026-08-19T09:05:35Z
40G,43021544152,on,5,425,2026-08-19T09:06:46Z
40G,43021544152,on,6,432,2026-08-19T09:07:55Z
40G,43021544152,on,7,444,2026-08-19T09:09:05Z
40G,43021544152,on,8,434,2026-08-19T09:10:16Z
40G,43021544152,on,9,426,2026-08-19T09:11:28Z
40G,43021544152,on,10,459,2026-08-19T09:12:38Z
50G,53977980128,off,1,308343,2026-08-19T09:17:47Z
50G,53977980280,off,2,279671,2026-08-19T09:19:16Z
50G,53977980432,off,3,279079,2026-08-19T09:20:44Z
50G,53977980584,off,4,278566,2026-08-19T09:22:13Z
50G,53977980736,off,5,279822,2026-08-19T09:23:42Z
50G,53977980888,off,6,280472,2026-08-19T09:25:12Z
50G,53977981040,off,7,279240,2026-08-19T09:26:41Z
50G,53977981192,off,8,281407,2026-08-19T09:28:10Z
50G,53977981344,off,9,281615,2026-08-19T09:29:39Z
50G,53977981496,off,10,279942,2026-08-19T09:31:07Z
50G,53977981496,on,1,453,2026-08-19T09:32:33Z
50G,53977981496,on,2,433,2026-08-19T09:34:03Z
50G,53977981496,on,3,494,2026-08-19T09:35:31Z
50G,53977981496,on,4,443,2026-08-19T09:36:59Z
50G,53977981496,on,5,440,2026-08-19T09:38:28Z
50G,53977981496,on,6,463,2026-08-19T09:39:55Z
50G,53977981496,on,7,457,2026-08-19T09:41:25Z
50G,53977981496,on,8,474,2026-08-19T09:42:51Z
50G,53977981496,on,9,459,2026-08-19T09:44:21Z
50G,53977981496,on,10,476,2026-08-19T09:45:47Z
